11/06/2025 09:47:53.764 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:47:53.765 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: c8g4
11/06/2025 09:48:00.678 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:48:00.680 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: g3f4
11/06/2025 09:48:26.723 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (g6g5) to lichess
11/06/2025 09:48:27.289 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:48:27.295 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: g6g5
11/06/2025 09:48:32.758 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:48:32.760 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: c4b5
11/06/2025 09:48:53.999 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (e8e7) to lichess
11/06/2025 09:48:54.563 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:48:54.565 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: e8e7
11/06/2025 09:48:59.019 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:48:59.020 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f4e3
11/06/2025 09:49:16.414 | DEBUG | cli-chess | game_state_dispatcher.make_move | Sending move (f8g7) to lichess
11/06/2025 09:49:16.974 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
11/06/2025 09:49:16.981 | DEBUG | cli-chess | board_model.make_moves_from_list | Updated board with moves from list. Last move played: f8g7
11/06/2025 09:49:19.893 | DEBUG | cli-chess | game_state_dispatcher.run | GSD Stream event type received: gameState // topic: EventTopics.MOVE_MADE
